id,trail_id,trail_name,description,latitude,longitude,park_name,distance,url
1,1,"Dornan Drive Parking Lot (South)",NULL,37.9103,-122.388,"Miller Knox Regional Shoreline",1453.82,http://www.ebparks.org/
2,2,"Seacliff Drive Walk-In Entrance",NULL,37.9108,-122.374,"Miller Knox Regional Shoreline",1453.08,http://www.ebparks.org/
3,7,"Sunset Park-Geneva St",NULL,37.6701,-121.772,"Robertson Park",1422.26,http://www.larpd.dst.ca.us/
4,3,"Dornan Drive Parking Lot (Picnic Area 2)",NULL,37.914,-122.384,"Miller Knox Regional Shoreline",1453.6,http://www.ebparks.org/
5,4,"Dornan Drive Parking Lot (Picnic Area 1)",NULL,37.9154,-122.384,"Miller Knox Regional Shoreline",1453.59,http://www.ebparks.org/
6,5,"Canal Blvd Walk-In Entrance",NULL,37.9178,-122.373,"Miller Knox Regional Shoreline",1452.98,http://www.ebparks.org/
7,6,"Crest Avenue Walk-In Entrance",NULL,37.9213,-122.384,"Miller Knox Regional Shoreline",1453.56,http://www.ebparks.org/
8,8,"Robertson Park",NULL,37.6669,-121.753,"Robertson Park",1421.22,http://www.larpd.dst.ca.us/
9,9,"Del Valle Regional Park",NULL,37.5865,-121.704,"Lake Del Valle",1419.19,http://www.ebparks.org/
10,10,"Ernie Rodrigues Sports Field",NULL,37.6712,-121.752,"Robertson Park",1421.12,http://www.larpd.dst.ca.us/
11,11,"Bethany Res. (Christensen Rd)",NULL,37.7819,-121.617,"Bethany Reservoir",1412.95,http://www.parks.ca.gov/
12,12,"Laughlin Road Staging Area",NULL,37.747,-121.71,"Brushy Peak Regional Preserve",1418.26,http://www.larpd.dst.ca.us/
13,13,"Del Valle Road Walk-In Entrance near Mendenhal Road",NULL,37.6033,-121.687,"Del Valle Regional Park",1418.15,http://www.ebparks.org/
14,14,"Del Valle Road Walk-In Entrance at East Ridge Trail",NULL,37.6006,-121.689,"Del Valle Regional Park",1418.26,http://www.ebparks.org/
15,15,"Del Valle Road Walk-In Entrance south of East Ridge Trail",NULL,37.5947,-121.688,"Del Valle Regional Park",1418.27,http://www.ebparks.org/
16,16,"Del Valle Road Walk-In Entance at District Service Road",NULL,37.5934,-121.688,"Del Valle Regional Park",1418.28,http://www.ebparks.org/
17,17,"Del Valle Road Walk-In Entrance to the Ridgeline Trail",NULL,37.5919,-121.688,"Del Valle Regional Park",1418.3,http://www.ebparks.org/
18,18,"Del Valle Road Park Entrance/Kiosk",NULL,37.584,-121.689,"Del Valle Regional Park",1418.41,http://www.ebparks.org/
19,19,"Anza-Pine Road Walk-In Entrance",,37.5306,-121.91,"Mission Peak Regional Preserve",1430.85,http://www.ebparks.org/
20,20,"Sunol Regional Wilderness","<p>
	While not easily accessible by public transit, this park is a great escape from urban living. &nbsp;Alameda Creek is beautiful and full of life. &nbsp;And the Old Green Barn Visitor Center is an excellent place to cool off and learn about the area. &nbsp;</p>
",37.5154,-121.831,"Sunol Regional Wilderness",1426.68,http://www.ebparks.org/
21,21,"Welch Creek Road Staging Area",NULL,37.5365,-121.841,"Sunol Regional Wilderness",1427.06,http://www.ebparks.org/
22,22,"Park Access Road Staging Area at Vineyard Avenue",NULL,37.6659,-121.842,"Shadow Cliffs Regional Recreation Area",1426.06,http://www.ebparks.org/
23,23,"Pat Geary Road Park Entrance",NULL,37.5305,-121.853,"San Francisco Water District",1427.76,http://sfwater.org/home.cfm
24,24,"Foothill Road Walk-In Entrance",NULL,37.5947,-121.888,"Pleasanton Ridge Regional Park",1429.15,http://www.ebparks.org/
25,25,"Foothill Road Park Entrance",,37.6147,-121.882,"Pleasanton Ridge Regional Park",1428.67,http://www.ebparks.org/
